source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,1,500,0.8961737472766884,0.803,0.8128627998965817,0.7951646333686251,0.7718550106609808,0.6786355475763016,0.9302325581395349,0.8707280832095097,augmented_r2
rf_tree_growth,2,25,0.7965686274509803,0.782,0.7897675209799542,0.7731028651679694,0.7815126050420168,0.6492537313432836,0.8910256410256411,0.8372781065088757,augmented_r2
rf_tree_growth,2,50,0.8461328976034859,0.785,0.7947263433509087,0.775119017614939,0.7752577319587629,0.6367041198501873,0.9169435215946844,0.85,augmented_r2
rf_tree_growth,2,100,0.8764297385620915,0.803,0.8138590566614671,0.7954847605866892,0.7815126050420168,0.677536231884058,0.9328859060402684,0.8635014836795252,augmented_r2
rf_tree_growth,2,200,0.8901824618736384,0.806,0.8147385612571624,0.7990986119229534,0.7811158798283262,0.6903914590747331,0.9174917491749175,0.8699551569506726,augmented_r2
rf_tree_growth,2,300,0.8933823529411765,0.804,0.8139285331618987,0.7967553568471601,0.7777777777777778,0.6809269162210339,0.9266666666666666,0.8703427719821163,augmented_r2
rf_tree_growth,2,400,0.894880174291939,0.806,0.816779975380465,0.7992246787743691,0.7880085653104925,0.6832740213523132,0.9297658862876255,0.8660714285714286,augmented_r2
rf_tree_growth,2,500,0.8962418300653595,0.807,0.8169808438128809,0.7999278941124726,0.7889125799573561,0.6845878136200717,0.9266666666666666,0.8677563150074294,augmented_r2
rf_tree_growth,3,25,0.8026960784313726,0.773,0.7825138287031586,0.7635493602676161,0.7576374745417516,0.6268656716417911,0.9023569023569024,0.8431952662721893,augmented_r2
rf_tree_growth,3,50,0.8513752723311547,0.789,0.8002589854460931,0.7806997483045577,0.7705263157894737,0.6568807339449542,0.9256756756756757,0.847953216374269,augmented_r2
rf_tree_growth,3,100,0.8754765795206971,0.8,0.8096418219261058,0.791348162749822,0.7805907172995781,0.6715867158671587,0.9271523178807947,0.8592375366568915,augmented_r2
rf_tree_growth,3,200,0.889297385620915,0.801,0.8093331049344661,0.7927269320005198,0.7966101694915254,0.6678899082568808,0.9114754098360656,0.8613569321533924,augmented_r2
rf_tree_growth,3,300,0.8946759259259259,0.8,0.8078618554753455,0.7914193704471425,0.7846481876332623,0.6678832116788321,0.9120521172638436,0.8668639053254438,augmented_r2
rf_tree_growth,3,400,0.8956971677559913,0.797,0.8049887391085412,0.7879971708474824,0.7829787234042553,0.6593406593406593,0.9120521172638436,0.8655834564254062,augmented_r2
