epoch tr_q1 tr_median tr_q3 vl_q1 vl_median vl_q3 vl_tumour_q1 vl_tumour_median vl_tumour_q3 n
136 -0.255405 -0.255076 -0.254631 -0.121851 -0.116523 -0.108983 98.163265 98.316327 98.698980 6
137 -0.255668 -0.254928 -0.254286 -0.123999 -0.120740 -0.115085 98.214286 98.367347 98.520408 6
138 -0.255550 -0.254790 -0.254280 -0.124132 -0.116326 -0.107957 98.163265 98.316327 98.698980 6
139 -0.255172 -0.254848 -0.254215 -0.122240 -0.114828 -0.113532 98.086735 98.214286 98.647959 6
140 -0.255576 -0.255307 -0.254571 -0.121165 -0.116344 -0.110644 98.265306 98.367347 98.545918 6
141 -0.255804 -0.255106 -0.254686 -0.121325 -0.120276 -0.117399 98.214286 98.418367 98.698980 6
142 -0.255112 -0.254849 -0.254365 -0.119231 -0.118314 -0.114823 98.163265 98.367347 98.775510 5
143 -0.255072 -0.254962 -0.254795 -0.121520 -0.115296 -0.111733 98.163265 98.571429 98.775510 5
144 -0.255216 -0.254821 -0.254649 -0.119022 -0.117851 -0.116273 98.367347 98.469388 98.775510 5
145 -0.255450 -0.255450 -0.254736 -0.118591 -0.116988 -0.115587 98.163265 98.367347 98.775510 5
146 -0.255418 -0.254876 -0.254449 -0.117103 -0.113594 -0.110754 98.265306 98.367347 98.775510 5
147 -0.255510 -0.254950 -0.254780 -0.119661 -0.118306 -0.115832 98.265306 98.367347 98.673469 5
148 -0.254979 -0.254960 -0.254350 -0.122081 -0.114427 -0.113923 98.163265 98.265306 98.673469 5
149 -0.255291 -0.255075 -0.251302 -0.118786 -0.115370 -0.104230 98.010204 98.469388 98.826531 4
150 -0.255266 -0.254828 -0.247967 -0.116926 -0.114406 -0.090107 97.806122 98.265306 98.520408 3
151 -0.254971 -0.254906 -0.248216 -0.118392 -0.116038 -0.092134 97.806122 98.265306 98.520408 3
152 -0.255217 -0.255043 -0.248319 -0.119643 -0.114453 -0.087378 97.959184 98.469388 98.622449 3
153 -0.254941 -0.254298 -0.247830 -0.117079 -0.114306 -0.090605 97.755102 98.061224 98.418367 3
154 -0.254886 -0.254726 -0.248027 -0.118450 -0.118230 -0.091735 97.653061 98.061224 98.418367 3
155 -0.254889 -0.254698 -0.247997 -0.118080 -0.114679 -0.089606 97.806122 98.265306 98.418367 3
156 -0.254858 -0.254590 -0.248027 -0.118540 -0.115339 -0.089051 97.806122 98.265306 98.520408 3
157 -0.252061 -0.248619 -0.245177 -0.120514 -0.119308 -0.118102 98.316327 98.469388 98.622449 2
158 -0.251823 -0.248399 -0.244976 -0.118262 -0.117559 -0.116855 98.443878 98.520408 98.596939 2
159 -0.251968 -0.248565 -0.245163 -0.117117 -0.116124 -0.115130 98.545918 98.622449 98.698980 2
160 -0.255373 -0.255373 -0.255373 -0.119241 -0.119241 -0.119241 98.163265 98.163265 98.163265 1
161 -0.255568 -0.255568 -0.255568 -0.118942 -0.118942 -0.118942 98.469388 98.469388 98.469388 1
162 -0.255985 -0.255985 -0.255985 -0.116555 -0.116555 -0.116555 98.163265 98.163265 98.163265 1
163 -0.255538 -0.255538 -0.255538 -0.119088 -0.119088 -0.119088 98.163265 98.163265 98.163265 1
164 -0.255544 -0.255544 -0.255544 -0.122041 -0.122041 -0.122041 98.265306 98.265306 98.265306 1
165 -0.255686 -0.255686 -0.255686 -0.120322 -0.120322 -0.120322 98.367347 98.367347 98.367347 1
166 -0.255772 -0.255772 -0.255772 -0.120745 -0.120745 -0.120745 98.367347 98.367347 98.367347 1
167 -0.255909 -0.255909 -0.255909 -0.120623 -0.120623 -0.120623 98.367347 98.367347 98.367347 1
168 -0.255657 -0.255657 -0.255657 -0.115922 -0.115922 -0.115922 98.163265 98.163265 98.163265 1
169 -0.255351 -0.255351 -0.255351 -0.118731 -0.118731 -0.118731 98.469388 98.469388 98.469388 1
170 -0.255325 -0.255325 -0.255325 -0.120548 -0.120548 -0.120548 98.367347 98.367347 98.367347 1
171 -0.255400 -0.255400 -0.255400 -0.119198 -0.119198 -0.119198 98.061224 98.061224 98.061224 1
172 -0.255311 -0.255311 -0.255311 -0.120025 -0.120025 -0.120025 98.265306 98.265306 98.265306 1
173 -0.255758 -0.255758 -0.255758 -0.119045 -0.119045 -0.119045 98.367347 98.367347 98.367347 1
174 -0.255515 -0.255515 -0.255515 -0.121233 -0.121233 -0.121233 98.367347 98.367347 98.367347 1
175 -0.256014 -0.256014 -0.256014 -0.120548 -0.120548 -0.120548 98.265306 98.265306 98.265306 1
176 -0.255858 -0.255858 -0.255858 -0.121546 -0.121546 -0.121546 98.265306 98.265306 98.265306 1
177 -0.255831 -0.255831 -0.255831 -0.120510 -0.120510 -0.120510 98.469388 98.469388 98.469388 1
178 -0.256014 -0.256014 -0.256014 -0.120500 -0.120500 -0.120500 98.163265 98.163265 98.163265 1
179 -0.255771 -0.255771 -0.255771 -0.119075 -0.119075 -0.119075 98.163265 98.163265 98.163265 1
180 -0.255665 -0.255665 -0.255665 -0.122580 -0.122580 -0.122580 98.367347 98.367347 98.367347 1
181 -0.256042 -0.256042 -0.256042 -0.117706 -0.117706 -0.117706 98.367347 98.367347 98.367347 1
182 -0.255506 -0.255506 -0.255506 -0.120624 -0.120624 -0.120624 98.163265 98.163265 98.163265 1
